deathscases10k,pctpov,pctmale,pctwhite,pctblack,pctasian,pcthispanic,pct_highschool_or_less,pct_Adults_with_Diabetes,pct_Adults_with_Obesity
114.5584726,15.4,48.55128505,74.308014,19.343178,1.2050143,2.965774,45.07185364,11,33
118.373649,10.6,48.46162314,83.11134,8.783976,1.1342892,4.6467789,36.85345936,11,31
211.3606341,28.9,52.78324826,45.641252,48.032635,0.45416183,4.2763554,62.39144897,18,42
250.8178844,14,53.21875,74.589288,21.120536,0.23214286,2.6249999,65.82137489,15,38
135.7466063,14.4,49.27385892,86.886239,1.4626556,0.27835409,9.5712312,52.93156815,17,34
256.1117579,31.4,54.51765634,21.217203,69.540346,0.12823042,7.9601496,65.59639359,24,37
298.4084881,23.5,46.57012195,51.255083,44.557926,1.2703252,1.5091463,60.13459682,19,43
164.3143038,18.6,48.05341407,72.024989,20.850214,0.9319461,3.910673,48.35794067,18,39
269.1157625,16.6,47.87446081,55.231297,39.56567,1.2672914,2.5613565,55.1137085,20,40
155.5869873,15,49.53902889,91.656423,4.2409342,0.31499693,1.6210817,58.68390465,15,35
181.8181818,18.6,49.07480805,80.139518,9.9676125,0.44164611,7.9269812,62.64394379,19,38
448.9795918,22.2,47.2704618,56.389689,41.515458,0.1557511,1.0435324,56.29756546,17,41
104.6025105,25.4,47.35785953,52.50836,44.326922,0.41806018,1.3628762,61.20453072,22,34
297.9842244,18.4,48.9039548,80.527306,13.830508,0.21092279,3.0131826,61.12697029,14,41
155.9454191,18.5,49.51624741,92.793757,2.8691532,0.20684593,2.4821512,58.94475746,13,37
105.7317752,15.1,49.1648847,69.854939,17.187771,1.5469379,7.5805739,41.31697464,16,34
128.7553648,16.3,47.951134,78.397429,15.99832,0.5733903,2.6752127,52.67845821,16,31
203.1063321,22.2,47.90258206,50.30545,45.662621,0.20363282,2.1503625,66.79497337,26,43
135.3965184,14,50.38730751,65.384972,30.471301,0.12132524,2.519832,60.28575134,21,40
137.3154823,18.3,48.38587574,83.188236,12.442546,0.4298924,1.7493106,53.88618851,15,32
377.3584906,15.7,48.27835648,70.949072,23.220485,1.0778356,2.3148147,60.33023643,18,38
110.1850544,15.8,49.42954387,91.855419,1.2056279,0.63876705,4.4330195,52.51706123,19,37
189.4736842,18.4,49.070594,68.367511,20.451017,1.35632,6.6386141,46.16670322,16,37
155.2907187,31.1,46.16288175,27.180892,70.057428,0.56121117,1.1119812,54.076334,16,43
88.4057971,22.1,49.62947398,80.127478,1.4484836,0.35021363,14.842054,59.39362526,13,29
128.982129,12.3,48.34100651,72.992051,21.2146,0.68509043,3.0126883,45.8791666,16,34
127.7715145,24,50.69119408,60.155654,31.403071,0.27484489,2.4681615,62.59329224,19,39
93.70950055,17.3,48.44147862,77.686071,15.483752,0.76194378,4.0155705,48.30492115,16,36
132.8671329,20,48.82249133,84.153837,11.854196,0.39554555,1.8073389,58.67076874,23,41
113.1498471,20.2,50.45116857,76.175749,3.883557,0.25507763,17.750216,59.36688232,15,34
119.2605844,24,48.81811963,83.681691,9.3144335,0.30022042,4.0434748,55.65916634,17,39
297.6190476,38.7,47.21243775,17.527026,79.606462,0.25507105,1.664035,59.39927483,15,36
229.1666667,26,47.58929784,39.725655,57.802528,0.28520983,1.358142,59.36901379,18,40
64.15396953,13.5,48.23057702,69.318378,25.829509,0.32541112,2.6730198,53.17225456,17,36
87.92416541,18.3,48.01856343,66.31844,26.919845,1.0236626,3.4386281,45.20007133,14,38
66.70590543,20.2,49.07607855,89.067572,3.4134839,0.47355806,2.953456,57.82588768,17,39
133.1702937,17,47.26088275,49.699834,43.126044,1.756105,3.9808888,36.31407261,13,35
142.0454545,21.2,48.88038139,85.972261,10.394394,0.10112685,1.6902629,57.42604446,19,36
108.0580426,15.2,47.97969411,84.604979,9.893167,0.70464457,2.8618746,48.57875156,14,33
205.4794521,16.8,48.69071821,76.384377,10.832296,0.224535,2.2271445,61.89414024,19,33
72.6744186,21.4,49.18781757,67.476106,22.777097,4.1386839,3.7598893,32.84220219,9,30
85.019056,13.7,50.07174496,76.114124,13.493252,1.5461559,6.1451118,45.70986557,14,34
338.6243386,27.9,46.82173651,25.135353,71.937037,0.32083418,1.7345097,61.29991722,14,47
300.3003003,25.8,45.46341993,16.139704,80.047727,0.58029178,1.8276479,48.391922,23,50
80.1910168,13.2,48.8580401,64.59583,24.436933,2.6465204,5.0687686,28.93445206,14,33
145.0083659,21.8,46.85303682,44.870451,51.075214,0.29371656,2.5805099,54.13993073,18,42
206.0373742,17.5,49.34314417,91.82542,3.7832208,0.29566912,2.5736652,55.25103569,20,37
93.59016215,21.7,49.42513188,80.436796,2.403521,0.65966765,14.325401,49.53639221,12,34
195.684121,19.3,47.63109748,56.721699,35.745618,2.0497538,3.0568667,47.50105667,14,36
90.53497942,30.9,47.49133716,53.956425,40.964541,0.45568901,1.6138986,61.59125042,18,42
