dts,mac,is_new
2024-02-23 19:04:10.491,72:15:1c:50:a0:1d,True
2024-02-23 19:04:10.506,eb:89:fd:c2:3a:97,True
2024-02-23 19:05:26.705,5f:9d:5a:86:42:a5,True
2024-02-23 19:05:29.369,55:72:c0:67:a8:3e,True
2024-02-23 19:05:29.617,55:72:c0:67:a8:3e,False
2024-02-23 19:06:39.332,47:53:87:36:82:9d,True
2024-02-23 19:07:55.315,41:72:6d:72:2b:f2,True
2024-02-23 19:08:27.577,71:39:5e:55:28:0b,True
2024-02-23 19:08:57.765,7d:83:38:9f:47:d0,True
2024-02-23 19:08:57.766,a0:0b:16:04:85:16,True
2024-02-23 19:08:58.187,7d:83:38:9f:47:d0,False
2024-02-23 19:09:16.938,f1:47:7d:bf:fa:36,True
2024-02-23 19:10:48.979,ac:b2:fd:48:4b:98,True
2024-02-23 19:11:50.046,66:a6:51:50:05:1c,True
2024-02-23 19:11:51.031,76:75:75:50:bc:50,True
2024-02-23 19:13:05.606,5b:a9:c8:f6:bc:5f,True
2024-02-23 19:13:06.056,4c:67:e9:8e:ab:17,True
2024-02-23 19:13:06.061,f2:9e:a3:f7:4d:e4,True
2024-02-23 19:13:34.071,de:c7:96:ca:55:94,True
2024-02-23 19:17:32.793,5a:0e:21:91:1f:95,True
2024-02-23 19:18:48.613,ef:d5:10:8c:3e:26,True
2024-02-23 19:18:48.777,59:fa:e1:15:bc:4d,True
2024-02-23 19:18:48.818,5b:77:9f:42:17:02,True
2024-02-23 19:18:48.820,69:c8:05:6e:9b:a7,True
2024-02-23 19:18:49.050,5b:77:9f:42:17:02,False
2024-02-23 19:19:26.905,74:30:ae:b2:32:d6,True
2024-02-23 19:20:35.562,9c:9c:1d:55:4f:9e,True
2024-02-23 19:21:22.253,64:2d:3e:3f:f2:7f,True
2024-02-23 19:24:09.784,4c:76:6c:72:61:19,True
2024-02-23 19:24:36.036,73:3a:c1:15:4b:bc,True
2024-02-23 19:25:35.763,5b:4b:3f:55:0b:0a,True
2024-02-23 19:25:36.234,68:2c:6a:b4:85:3b,True
2024-02-23 19:26:09.468,44:c7:ea:05:73:5f,True
2024-02-23 19:26:19.980,4b:a4:06:8d:f2:65,True
2024-02-23 19:26:39.158,75:7b:0e:c9:a5:57,True
2024-02-23 19:26:39.165,72:a7:77:b7:eb:c6,True
2024-02-23 19:26:39.397,71:5a:98:6b:b7:f3,True
2024-02-23 19:29:44.235,72:89:8a:7a:9a:a6,True
2024-02-23 19:34:38.216,77:41:cc:9f:ac:23,True
2024-02-23 19:35:21.706,4b:95:45:fc:e9:19,True
2024-02-23 19:37:35.248,76:ef:29:c1:3f:54,True
2024-02-23 19:38:59.468,78:4d:b4:15:97:50,True
2024-02-23 19:39:00.372,4b:85:a5:7c:d2:64,True
2024-02-23 19:39:47.170,41:c4:1e:de:42:c8,True
2024-02-23 19:40:59.890,4d:de:36:6e:dd:0a,True
2024-02-23 19:41:00.192,75:a5:d8:f4:24:f0,True
2024-02-23 19:43:20.238,47:e4:ab:3f:90:e6,True
2024-02-23 19:46:18.460,de:c4:9e:53:8d:7d,True
2024-02-23 19:48:08.397,6b:d9:fd:0e:a6:7a,True
2024-02-23 19:49:16.522,4c:4e:c1:b5:50:3e,True
2024-02-23 19:50:12.645,e8:53:af:69:a9:5f,True
2024-02-23 19:50:43.262,57:bb:5c:28:23:6f,True
2024-02-23 19:50:43.426,7e:3c:11:f4:17:b1,True
2024-02-23 19:51:33.374,49:b9:a8:c1:99:c0,True
2024-02-23 19:55:21.413,6b:72:78:f9:f8:6b,True
2024-02-23 19:55:21.415,de:ba:17:c4:52:f4,True
2024-02-23 19:55:21.546,46:a7:96:49:29:7e,True
2024-02-23 20:01:20.451,48:ef:dc:60:37:94,True
2024-02-23 20:03:38.080,66:cb:db:3b:0b:9e,True
2024-02-23 20:05:05.211,58:20:be:19:a1:6b,True
2024-02-23 20:07:29.685,45:bf:b4:5c:25:c5,True
2024-02-23 20:09:00.354,6d:ef:72:f4:92:f4,True
2024-02-23 20:10:42.525,43:b1:09:22:98:02,True
2024-02-23 20:10:45.580,51:8b:d7:16:e4:b6,True
2024-02-23 20:11:38.843,74:10:9b:00:bd:86,True
2024-02-23 20:11:39.247,e9:e3:35:53:a1:39,True
2024-02-23 20:11:39.255,e9:27:a0:eb:27:89,True
2024-02-23 20:12:57.114,c0:54:ad:7b:50:28,True
2024-02-23 20:12:57.507,41:9a:3b:ff:a7:2c,True
2024-02-23 20:12:57.710,4b:67:9a:e4:f4:31,True
2024-02-23 20:14:37.381,5b:37:62:bc:c8:4f,True
2024-02-23 20:15:32.557,65:5e:cd:37:3e:01,True
2024-02-23 20:18:26.373,6f:05:ef:2f:eb:87,True
2024-02-23 20:18:26.552,65:81:f4:43:25:5f,True
