pitime,elec_0_avg,elec_1_avg,elec_2_avg,elec_3_avg,elec_6_avg,flow2,flow3,rh_1,rh_2,rh_3,rh_4,rh5,temp_1,temp_2,temp_3,temp_4,temp_5,temp_6,temp_7,temp_8,temp_9,baro1,co2,tvoc,dustv,adc_64_avg,adc_65_avg,adc_66_avg,adc_67_avg,adc_68_avg,adc_69_avg,trpin_47_sampleson,trpin_43_sampleson,trpin_38_sampleson,trpin_40_sampleson,trpin_44_sampleson
2021-01-02 00:00:00,0.0,43.97,82.21,53.93,99.93,0.0,0.0,34.75,48.54,99.61,22.78,,60.78,58.53,54.9,33.3,40.1,79.17,51.32,27.32,73.1,100257.55,671.1,40.76,,,131.0,199.45,514.97,503.14,511.97,0.0,0.0,0.0,0.0,1.0
2021-01-02 00:30:00,0.0,37.28,67.34,49.21,100.28,0.0,0.0,34.63,48.48,99.9,22.79,,60.82,58.5,54.87,33.19,40.1,79.11,51.21,27.45,73.23,100173.79,713.21,47.21,,,131.21,200.1,514.93,503.1,511.97,0.0,0.0,0.0,0.0,0.0
2021-01-02 01:00:00,89.1,37.03,74.17,65.9,93.0,0.0,0.0,34.36,48.31,99.9,23.02,,60.83,58.5,54.75,33.1,40.1,78.3,51.0,27.62,73.43,100072.62,710.41,46.76,,,129.66,198.83,514.9,503.0,512.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 01:30:00,0.0,37.38,52.1,47.93,140.69,0.0,0.0,34.51,48.33,99.9,22.88,,60.89,58.47,54.69,33.04,40.1,80.79,50.93,27.57,73.28,99998.86,716.28,47.62,,,127.55,196.41,514.86,503.0,512.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 02:00:00,0.0,37.07,45.79,47.45,139.07,0.0,0.0,34.5,48.45,99.9,23.02,,61.14,58.5,54.84,32.94,40.1,82.99,51.15,27.68,73.25,99886.72,687.28,43.31,,,129.14,202.41,514.97,503.03,511.97,0.0,0.0,0.45,4.1,2.07
2021-01-02 02:30:00,0.0,34.21,60.28,44.21,104.21,0.0,0.0,34.3,48.34,99.9,22.83,,61.23,58.6,54.78,32.9,40.1,81.1,51.12,27.69,73.28,99783.86,677.0,41.66,,,128.14,202.34,514.97,503.0,512.0,0.0,0.0,1.45,5.07,3.03
2021-01-02 03:00:00,79.97,33.31,66.83,61.48,100.9,0.0,0.0,34.07,48.15,99.9,22.83,,61.31,58.6,54.81,32.88,40.1,82.59,51.24,27.69,73.29,99674.45,723.76,48.86,,,130.52,202.69,514.97,503.03,512.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 03:30:00,0.0,33.57,60.39,41.43,97.25,0.0,0.0,34.27,48.12,99.9,22.93,,61.1,58.55,54.69,32.85,40.1,79.76,50.98,27.68,73.27,99571.21,660.39,39.21,,,127.89,197.07,515.0,503.14,512.0,0.0,0.0,0.75,5.25,4.18
2021-01-02 04:00:00,0.0,33.31,79.76,48.31,101.45,4.03,0.0,34.36,48.18,99.9,22.85,,61.27,58.6,54.69,32.77,40.1,81.34,50.78,27.51,73.3,99492.1,713.72,47.28,,,128.1,195.66,514.97,503.03,512.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 04:30:00,81.62,33.03,104.76,71.28,95.69,0.0,0.0,34.38,48.32,99.9,22.66,,61.13,58.44,54.53,32.74,40.1,79.14,50.31,27.06,73.32,99420.07,643.03,36.55,,,127.69,195.66,515.0,503.14,512.0,0.0,0.0,0.0,3.0,2.07
2021-01-02 05:00:00,0.0,33.41,85.03,50.24,107.0,0.0,0.0,34.14,48.28,99.9,22.79,,61.3,58.47,54.5,32.71,40.1,80.79,50.31,26.96,73.38,99362.21,736.45,50.79,,,129.1,198.07,514.97,503.03,511.97,0.0,0.0,0.45,1.03,1.03
2021-01-02 05:30:00,0.0,33.38,74.38,46.24,100.0,0.0,0.0,34.36,48.22,99.9,22.67,,61.14,58.38,54.5,32.7,40.1,78.77,50.54,26.97,73.28,99341.97,706.48,46.14,,,127.59,196.03,515.0,503.03,512.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 06:00:00,86.59,33.38,100.9,74.79,110.31,0.0,0.0,34.39,48.3,99.9,22.75,,61.35,58.5,54.5,32.69,40.1,80.91,50.78,27.23,73.19,99340.28,715.83,47.62,,,130.14,199.24,515.03,503.1,512.0,0.0,0.0,0.0,2.0,1.03
2021-01-02 06:30:00,0.0,33.34,80.48,49.55,102.07,0.0,0.0,34.36,48.2,99.9,22.85,,61.27,58.41,54.34,32.66,40.1,79.54,50.63,27.58,73.26,99375.14,816.79,63.1,,,138.79,213.86,514.97,503.21,512.0,0.0,0.0,0.0,5.0,4.1
2021-01-02 07:00:00,0.0,33.28,83.79,51.24,109.79,0.0,0.0,34.11,48.26,99.9,22.69,,61.45,58.47,54.44,32.67,40.1,80.88,50.9,27.83,73.23,99398.86,1218.76,124.28,,,148.76,235.79,514.97,503.14,512.0,0.0,0.0,0.0,1.0,2.07
2021-01-02 07:30:00,86.9,33.03,97.59,69.34,108.62,0.0,0.0,34.39,48.22,99.9,22.73,,61.32,58.44,54.41,32.68,40.1,79.95,50.96,28.0,73.28,99410.69,1439.55,157.83,,,149.38,238.0,514.97,503.24,512.03,0.0,0.0,0.0,0.0,0.0
2021-01-02 08:00:00,0.0,33.21,78.03,46.0,107.03,0.0,0.0,34.52,48.32,99.9,22.81,,61.41,58.44,54.47,32.7,40.1,80.48,51.1,28.08,73.29,99438.45,1401.28,152.03,,,147.62,234.55,514.93,503.28,512.0,0.0,0.0,0.0,0.0,0.0
