timestamp,speed,speed_deviation,area,area_deviation,frames,seconds,direction,max_dba
2024-02-01 00:12:59.144,42,5,3825,375,4,0.43,LTR,83.47
2024-02-01 00:40:09.237,46,3,2508,373,6,0.60,RTL,83.22
2024-02-01 00:41:13.369,36,1,2134,1018,6,0.61,LTR,80.98
2024-02-01 01:42:11.259,53,1,3234,1030,4,0.44,LTR,87.32
2024-02-01 02:26:10.154,49,2,2826,1114,6,0.61,RTL,88.15
2024-02-01 03:15:52.560,43,1,2447,983,5,0.49,LTR,98.13
2024-02-01 03:32:20.015,47,2,5162,1656,5,0.53,RTL,94.07
2024-02-01 03:43:06.388,56,1,2822,584,5,0.50,RTL,84.02
2024-02-01 04:00:09.352,48,3,2441,410,5,0.51,RTL,87.59
2024-02-01 04:21:47.024,37,4,3672,932,6,0.60,RTL,83.78
2024-02-01 04:31:37.076,56,0,2139,474,5,0.57,RTL,85.82
2024-02-01 04:37:40.464,46,3,3208,795,5,0.50,RTL,84.77
2024-02-01 05:00:42.031,32,9,3527,985,4,0.40,LTR,87.05
2024-02-01 05:01:35.461,64,0,2220,0,4,0.39,RTL,87.06
2024-02-01 05:06:46.467,58,1,2002,278,4,0.39,LTR,87.08
2024-02-01 05:19:12.757,52,2,5424,1603,5,0.50,RTL,87.08
2024-02-01 05:25:58.201,62,1,2310,171,5,0.50,RTL,85.55
2024-02-01 05:29:38.243,57,5,2023,48,5,0.50,RTL,90.72
2024-02-01 05:31:12.229,61,1,2175,318,5,0.50,RTL,87.07
2024-02-01 05:34:15.109,48,3,2224,95,6,0.60,RTL,82.98
2024-02-01 05:34:28.604,59,5,12728,10401,5,0.53,RTL,87.58
2024-02-01 05:40:59.259,55,1,2079,23,6,0.61,RTL,82.48
2024-02-01 05:41:39.365,50,2,5061,2929,5,0.53,RTL,87.07
2024-02-01 05:42:43.464,46,3,3954,2026,6,0.60,RTL,87.58
2024-02-01 05:45:37.429,61,1,2382,169,5,0.50,RTL,86.58
2024-02-01 05:47:58.248,51,1,2187,1361,6,0.61,RTL,88.13
2024-02-01 05:48:22.111,51,1,2156,328,4,0.40,LTR,87.06
2024-02-01 05:48:25.736,46,1,2721,923,5,0.50,LTR,84.3
2024-02-01 05:49:38.130,48,4,2390,515,4,0.40,LTR,85.01
2024-02-01 05:50:39.206,25,7,11136,5238,5,0.55,RTL,86.57
2024-02-01 05:52:38.786,39,1,2897,813,5,0.50,LTR,85.8
2024-02-01 05:52:41.610,37,0,2918,422,4,0.40,LTR,82.2
2024-02-01 05:52:51.106,60,4,2131,441,5,0.50,RTL,86.81
2024-02-01 05:55:11.206,46,1,2057,984,5,0.50,LTR,82.97
2024-02-01 06:05:51.235,63,1,2170,132,5,0.51,RTL,88.67
2024-02-01 06:07:16.247,64,1,2434,1195,5,0.50,RTL,87.87
2024-02-01 06:07:48.688,46,1,3687,862,6,0.60,RTL,85.3
2024-02-01 06:11:25.576,53,3,2633,679,5,0.50,RTL,83.22
2024-02-01 06:12:55.266,48,1,2321,221,4,0.40,LTR,84.03
2024-02-01 06:13:50.819,46,3,2624,470,6,0.62,RTL,85.3
